nomor_registrasi,nama_produk,merk,jenis_kemasan,ukuran_kemasan,produsen,kota_produsen,provinsi_produsen
MD 268310005013,Minuman Teh ,VONTEA,Gelas Plastik, (120ml; 130ml; 140ml; 150ml; 160ml; 170ml; 180ml),PT KENCANA ABADI JAYA, Kab. Bogor, Jawa Barat
MD 268310222047,Minuman Teh Rasa Blackcurrant ,SOSRO - Fruit Tea (Khusus Ekspor),Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310224047,Minuman Teh Rasa Stroberi Anggur,SOSRO - Fruit Tea (Khusus Ekspor),Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310202047,Minuman Teh Rasa Apel,SOSRO - Fruit Tea (Khusus Ekspor),Botol Plastik, (300ml; 350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268320015024,Minuman Teh Hijau Melati,Teh Gelas,Gelas Plastik, (270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310036243,Minuman Teh Hijau Melati,Teh Gelas,Gelas Plastik, (270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313022031,Minuman Teh Rasa Leci,MOUNTEA BIG,Gelas Plastik, (250ml),PT TRITEGUH MANUNGGALSEJATI, Kota Tangerang, Banten
MD 268313029031,Minuman Teh,MOUNTEA BIG,Gelas Plastik, (250ml),PT TRITEGUH MANUNGGALSEJATI, Kota Tangerang, Banten
MD 268311005509,MINUMAN TEH HIJAU RASA SUSU (THAI GREEN TEA),Teaandtea,Botol Plastik, (250ml; 330ml; 400ml; 540ml),CV MAJU SARI TEH, Kota Semarang, Jawa Tengah
MD 268311001509,MINUMAN TEH RASA SUSU (THAI MILK TEA),Teaandtea,Botol Plastik, (250ml; 330ml; 400ml; 540ml),CV MAJU SARI TEH, Kota Semarang, Jawa Tengah
MD 268311003509,MINUMAN TEH HIJAU ,Teaandtea,Botol Plastik, (250ml; 330ml; 400ml; 540ml),CV MAJU SARI TEH, Kota Semarang, Jawa Tengah
MD 268311011424,Minuman Teh Dengan Madu Kapulaga,Makutarama,Botol Plastik PET, (250ml),MAKUTARAMA, Kota Semarang, Jawa Tengah
MD 268310016243,Minuman Teh Melati (Original Tea),TEH GELAS,Gelas Plastik, (270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310014033,Minuman Teh Hijau Beraroma Melati Dengan Gula Batu,Nu,Botol Plastik, (330ml; 450ml),PT ABC President Indonesia, Kota Jakarta Selatan, DKI Jakarta
MD 268310037033,Minuman Teh Dengan Susu,Nü,Botol Plastik, (330ml; 230ml; 200ml),PT ABC President Indonesia, Kota Jakarta Selatan, DKI Jakarta
MD 268310026033,Minuman Teh Dengan Susu (Teh Tarik),Nu,Botol Plastik, (330ml; 230ml; 200ml),PT ABC President Indonesia, Kota Jakarta Selatan, DKI Jakarta
MD 268310089047,Minuman Teh Melati,S-tee,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310027033,Minuman Teh Hijau,NU,Botol Plastik, (330ml; 450ml),PT ABC President Indonesia, Kota Jakarta Selatan, DKI Jakarta
MD 268310028033,Minuman Teh Hijau Rasa Madu ,NU,Botol Plastik, (330ml; 450ml),PT ABC President Indonesia, Kota Jakarta Selatan, DKI Jakarta
MD 268306010025,Minuman Teh Melati (Original Tea),TEH GELAS,Gelas Plastik, (270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313033046,Minuman Teh Hijau Melati,Teh Gelas,Gelas Plastik, (270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310040014,Minuman Teh Rasa Blackcurrant,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268311047404,Minuman Teh Melati,TEKITA,Gelas Plastik, (180ml),PT ANUGERAH INDOFOOD BAROKAH MAKMUR, Kota Jakarta Selatan, DKI Jakarta
MD 268310001250,Minuman Teh Beraroma Melati,Teheco,Gelas Plastik, (160ml; 180ml; 200ml; 220ml),PT TRISUMBER MAKMUR INDAH, Kab. Bandung, Jawa Barat
MD 268310039033,Minuman Teh Hijau Rasa Madu,Nü,Plastik, (330ml; 450ml),PT ABC President Indonesia, Kota Jakarta Selatan, DKI Jakarta
MD 268313013034,Minuman Teh Rasa Blackcurrant,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 266510035014,Minuman Teh Berkarbonasi Rasa Mix Fruit,TEBS,Botol Plastik, (300ml; 500ml; 1500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268304004010,Minuman Teh,AICO,Gelas Plastik, (180ml),PT MESKOM AGRO SARIMAS, Kab. Bengkalis, Riau
MD 268310011250,Minuman Teh Beraroma Melati,Grestea,Gelas Plastik, (180ml; 200ml; 220ml; 240ml),PT TRISUMBER MAKMUR INDAH, Kab. Bandung, Jawa Barat
MD 268331300020,Minuman Teh Melati dengan Gula Batu,SISRI,Gelas Plastik, (170ml; 175ml; 180ml; 210ml; 220ml; 240ml),PT FORISA NUSAPERSADA, Kab. Tangerang, Banten
ML 468309522660,Minuman Teh Hijau Dengan Aroma Bunga Melati,DRINHO,Karton Laminat, (250ml; 1000ml),PT INTERFOOD SUKSES JASINDO, Kota Jakarta Pusat, DKI Jakarta
MD 268331472020,Minuman Teh Melati dengan Gula Batu,SISRI,Gelas Plastik, (170ml; 175ml; 180ml; 210ml; 220ml; 240ml),PT FORISA NUSAPERSADA, Kab. Tangerang, Banten
MD 268310011439,Minuman Teh Oolong,POKKA,Botol Plastik, (250ml; 350ml; 450ml),PT POKKA DIMA INTERNATIONAL, Kab. Subang, Jawa Barat
MD 168310012032,Minuman Teh Melati (Original),FRESTEA,Botol Kaca, (220ml),PT COCA-COLA BOTTLING INDONESIA, Kota Jakarta Selatan, DKI Jakarta
MD 268331248020,Minuman Teh Melati dengan Gula Batu,SISRI,Gelas Plastik, (170ml; 175ml; 180ml; 210ml; 220ml; 240ml),PT FORISA NUSAPERSADA, Kab. Tangerang, Banten
MD 266631155020,Minuman Teh Melati dengan Gula Batu,SISRI,Gelas Plastik, (170ml; 175ml; 180ml; 210ml; 220ml; 240ml),PT FORISA NUSAPERSADA, Kab. Tangerang, Banten
MD 268306002025,Minuman Teh Hijau Melati,Teh Gelas ,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268331002041,Minuman Teh Hijau Melati (Green Tea),TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310010243,Minuman Teh Hijau Melati,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268320002024,Minuman Teh Hijau Melati,Teh Gelas,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313020046,Minuman Teh Hijau Melati,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268311045404,Minuman Teh Hijau,TEKITA,Gelas Plastik, (180ml),PT ANUGERAH INDOFOOD BAROKAH MAKMUR, Kota Jakarta Selatan, DKI Jakarta
MD 268310011243,Minuman Teh Melati (Original Tea),TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268320001024,Minuman Teh Melati (Original Tea),Teh Gelas,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313021046,Minuman Teh Melati (Original Tea),TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268331001041,Minuman Teh Melati (Original Tea),Teh Gelas,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268306001025,Minuman Teh Melati (Original Tea),Teh Gelas,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310037250,Minuman Teh Rasa Susu Ala Thailand,Teheco,Gelas Plastik, (130 150ml),PT TRISUMBER MAKMUR INDAH, Kab. Bandung, Jawa Barat
MD 268310003072,Minuman Teh Aroma melati,Zegar,Gelas Plastik, (165ml; 185ml; 220ml; 270ml; 300ml),PT TANG MAS , Kota Depok, Jawa Barat
MD 268331003041,Minuman Teh - Original Tea,TEH GELAS,Gelas Plastik, (500ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 468310025014,Minuman Teh Hijau Aroma Melati (Green Tea),SOSRO,Karton Laminat, (250ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
ML 568309283660,Minuman Teh Hijau Dengan Aroma Bunga Melati,DRINHO,Kaleng, (300ml),PT INTERFOOD SUKSES JASINDO, Kota Jakarta Pusat, DKI Jakarta
MD 268310019208,Minuman Teh dengan Buah Lemon ,Indomaret,Botol Plastik, (330ml),PT HOKKAN INDONESIA, Kab. Bogor, Jawa Barat
MD 168310063047,Minuman Teh,S-tee,Botol Kaca, (318ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310132047,Minuman Teh Rasa Markisa,SOSRO,Botol Plastik, (300ml; 350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 468310143014,Minuman Teh Melati,SOSRO,Karton Laminat, (250ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
ML 468331004277,Minuman Teh Hijau (Matcha Green Tea Drink),SUNFIELD,Karton Laminat, (1000ml),PT HEALTH TODAY INDONESIA, Kota Tangerang Selatan, Banten
MD 268328002259,Minuman Teh Dalam Kemasan,MAXICUP!,Gelas Plastik, (200ml),CV KARYA KENCANA PUTRA, Kab. Bandung Barat, Jawa Barat
MD 268310001072,Minuman Teh Melati,2 Tang Zegar,Botol Plastik, (330ml),PT TANG MAS , Kota Depok, Jawa Barat
MD 668310027015,Minuman Teh Melati,SOSRO,Pouch Aluminium Foil, (230ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310051047,Minuman Teh Melati,SOSRO,Botol Plastik, (350ml; 450ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310147047,Minuman Teh Tawar,SOSRO,Botol Plastik, (350ml; 450ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 568310145014,Minuman Teh Sarang Burung Walet,SOSRO,Kaleng, (318ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310024047,Minuman Teh Hijau Aroma Melati (Green Tea),SOSRO,Botol Plastik, (450ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310002111,Minuman Teh Rasa Leci,FRESTEA,Botol Plastik, (350ml; 500ml),PT COCA-COLA BOTTLING INDONESIA, Kota Jakarta Selatan, DKI Jakarta
MD 668310005111,Minuman Teh Hijau Rasa Madu,FRESTEA,Botol Plastik, (350ml; 500ml; 900ml),PT COCA-COLA BOTTLING INDONESIA, Kota Jakarta Selatan, DKI Jakarta
MD 268310156047,Minuman Teh Rasa Jambu Klutuk,SOSRO,Botol Plastik, (300ml; 350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268331023041,Minuman Teh Rasa Melati,OTEE,Gelas Plastik, (140ml; 145ml; 150ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268306019025,Minuman Teh Rasa Melati,OTEE,Gelas Plastik, (140ml; 145ml; 150ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268328025092,Minuman Teh Susu Ala Thailand (Thai Tea),ICHI OCHA,Botol Plastik, (330ml),PT ANUGERAH INDOFOOD BAROKAH MAKMUR, Kota Jakarta Selatan, DKI Jakarta
MD 268310005439,Minuman Teh Rasa Mangga,POKKA,Botol Plastik, (250ml; 350ml; 450ml),PT POKKA DIMA INTERNATIONAL, Kab. Subang, Jawa Barat
MD 268310119047,Minuman Teh Hijau Rasa Jeruk Yuzu,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310082047,Minuman Teh Rasa Lemon (Fruit Tea Lemon),SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310060243,Minuman Teh Rasa Anggur,OT Vit~Amin Tea,Botol Plastik, (250ml; 350ml; 400ml; 425ml; 500ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268311012062,Minuman Teh Hijau,Seduh Segar,Gelas Plastik, (180ml; 200ml),PT STARFOOD JAYA PRIMA, Kab. Kudus, Jawa Tengah
MD 268311018062,Minuman Teh Hijau Berperisa Leci,Seduh Segar,Gelas Plastik, (180ml),PT STARFOOD JAYA PRIMA, Kab. Kudus, Jawa Tengah
MD 268311016062,Minuman Teh Hijau Berperisa Mangga,Seduh Segar,Gelas Plastik, (180ml),PT STARFOOD JAYA PRIMA, Kab. Kudus, Jawa Tengah
MD 268311014062,Minuman Teh Hijau Rasa Apel Hijau,Seduh Segar,Gelas Plastik, (180ml; 200ml),PT STARFOOD JAYA PRIMA, Kab. Kudus, Jawa Tengah
MD 268311042062,Minuman Teh Melati,Kagumi,Gelas Plastik, (180ml; 200ml; 220ml),PT STARFOOD JAYA PRIMA, Kab. Kudus, Jawa Tengah
MD 268328007394,Minuman Teh Dalam Kemasan,Htea,Botol Plastik, (330ml),PT HALAL BERKAH INDONESIA, Kota Jakarta Selatan, DKI Jakarta
MD 268328009394,Minuman Teh Dalam Kemasan,Htea,Gelas Plastik, (180ml),PT HALAL BERKAH INDONESIA, Kota Jakarta Selatan, DKI Jakarta
MD 268310015036,Minuman Teh Wangi Melati,PUCUK HARUM,Botol Plastik, (350ml; 500ml; 1000ml),PT TIRTA FRESINDO JAYA, Kota Jakarta Barat, DKI Jakarta
MD 268311001236,Minuman Teh Hijau Aroma Melati,NUTU,Gelas Plastik, (180ml),CV PANEN LESTARI, Kota Pekalongan, Jawa Tengah
MD 268313037046,Minuman Teh Rasa Apel,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268320018024,Minuman Teh Rasa Apel,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310071243,Minuman Teh Rasa Apel,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268306064025,Minuman Teh Rasa Apel,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268331022041,Minuman Teh Rasa Apel,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310110047,Minuman Teh Melati,SOSRO - Khusus Ekspor,Botol Plastik, (450ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310004439,Minuman Teh Rasa Lemon,POKKA,Botol Plastik, (250ml; 350ml; 450ml),PT POKKA DIMA INTERNATIONAL, Kab. Subang, Jawa Barat
MD 268310044033,Minuman Teh Mengandung Susu ala Thailand (Thai Tea),Nü, Botol Plastik, (200ml; 330ml),PT ABC President Indonesia, Kota Jakarta Selatan, DKI Jakarta
MD 568310135014,Minuman Teh Tawar Aroma Melati,SOSRO - Khusus Ekspor,Kaleng, (318ml; 330ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 468310020129,Minuman Teh Beraroma Melati,UJ Ultrajaya TEH KOTAK,Karton Laminat, (300ml),PT ULTRAJAYA MILK INDUSTRY & TRADING COMPANY Tbk, Kab. Bandung Barat, Jawa Barat
MD 468310026129,Minuman Teh Beraroma Melati,UJ Ultrajaya Teh Kotak-Desain 2,Karton Laminat, (500ml),PT ULTRAJAYA MILK INDUSTRY & TRADING COMPANY Tbk, Kab. Bandung Barat, Jawa Barat
MD 268311044062,Minuman Teh Hijau,Eksotea,Gelas Plastik, (180ml; 200ml),PT STARFOOD JAYA PRIMA, Kab. Kudus, Jawa Tengah
MD 268310006243,Minuman Teh Rasa Cincau,OT Adem Sejuk,Botol Plastik, (250ml; 350ml; 500ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310038211,Minuman Teh Oolong,ADEM SARI CHING KU,Botol Plastik, (350ml),PT SARI ENESIS INDAH, Kab. Bekasi, Jawa Barat
MD 468310054014,Minuman Teh Melati,SOSRO - HOKBEN,Karton Laminat, (250ml; 330ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310010032,Minuman Teh Beraroma Melati,FRESTEA,Gelas Plastik, (296ml),PT COCA-COLA BOTTLING INDONESIA, Kota Jakarta Selatan, DKI Jakarta
MD 168310059047,Minuman Teh,SOSRO,Botol Kaca, (220ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
ML 168309004054,Minuman Teh Rasa Susu (Thai Tea),Taste Nirvana,Botol Kaca, (280ml),Induk Koperasi TNI Angkatan Darat (INKOPAD), Kota Jakarta Barat, DKI Jakarta
ML 168309227054,Minuman Teh Rasa Susu (Real Thai Tea Latte),Taste Nirvana,Botol Kaca, (280ml),Induk Koperasi TNI Angkatan Darat (INKOPAD), Kota Jakarta Barat, DKI Jakarta
ML 168309220054,Minuman Teh Hijau Rasa Susu (Real Green Tea Latte),Taste Nirvana,Botol Kaca, (280ml),Induk Koperasi TNI Angkatan Darat (INKOPAD), Kota Jakarta Barat, DKI Jakarta
MD 568310133014,"Minuman Teh Melati (Jasmine Tea Drink)",SOSRO - Khusus Ekspor,Kaleng, (318ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310023047,Minuman Teh Melati,SOSRO,Botol Plastik, (340ml; 350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310047047,Minuman Teh Rasa Apel ,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310115047,Minuman Teh Melati (Jasmine tea drink),SOSRO -  Khusus Ekspor,Botol Plastik, (450ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310036211,Minuman Teh,TESONA,Botol Plastik, (350ml),PT SARI ENESIS INDAH, Kab. Bekasi, Jawa Barat
MD 268313012034,Minuman Teh Rasa Apel,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 568310129014,Minuman Teh Rasa Cincau,SOSRO,Kaleng, (318ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 266613018451,Minuman Teh Rasa Kurma Original,Gofunku,Plastik, (250ml),PT REALFOOD WINTA ASIA, Kab. Bojonegoro, Jawa Timur
MD 468310080032,Minuman Teh Hijau Rasa Madu,FRESTEA,Karton Laminat, (200ml),PT COCA-COLA BOTTLING INDONESIA, Kota Jakarta Selatan, DKI Jakarta
MD 268302001216,MINUMAN TEH RASA MELATI,SYUKUR,Botol Plastik, (330ml),PT MAJUJAYA POHON PINANG, Kab. Deli Serdang, Sumatera Utara
MD 268320006014,Minuman Teh Manis,Jizzy,Gelas Plastik, (170ml),PT Mallo Food Makassar, Kota Makassar, Sulawesi Selatan
MD 468310096015,Minuman Teh Melati,SOSRO - Geprek Bensu,Karton Laminat, (200ml; 250ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310021062,Minuman Teh dengan Gula Batu,Javana,Botol Plastik, (350ml),PT TIRTA ALAM SEGAR, Kab. Bekasi, Jawa Barat
MD 268313018115,Minuman Teh Beraroma Melati,ALAMO ,Gelas Plastik, (180ml),PT BROMO TIRTA LESTARI, Kab. Probolinggo, Jawa Timur
MD 268310006439,Minuman Teh Rasa Vanila,POKKA,Botol Plastik, (250ml; 350ml; 450ml),PT POKKA DIMA INTERNATIONAL, Kab. Subang, Jawa Barat
MD 268311020066,Minuman Teh Wangi Melati,Cap Bandulan,Gelas Plastik, (180ml; 200ml; 220ml; 240ml),CV BUDI DJAJA, Kota Pekalongan, Jawa Tengah
MD 268311028066,Minuman Teh Wangi Melati,Bandulan,Botol Plastik, (330ml; 350ml; 500ml),CV BUDI DJAJA, Kota Pekalongan, Jawa Tengah
